bank,n_tokens,vocab_size,top1_token,top1_share
Arvest_Bank,14,5,check,0.42857142857142855
California_Bank_&_Trust,21,8,check,0.42857142857142855
Mainstreet_Community_Bank_of_Florida,14,3,pos,0.42857142857142855
Nevada_State_Bank,28,10,check,0.42857142857142855
First_National_Bank,14,5,ccd,0.42857142857142855
Regions_Bank,28,6,card,0.42857142857142855
Resource_One_Credit_Union,19,4,debit,0.42105263157894735
FirstLight_Federal_Credit_Union,38,5,card,0.42105263157894735
Security_Service_Federal_Credit_Union,31,10,check,0.41935483870967744
1st_Security_Bank,48,10,check,0.4166666666666667
Oak_Valley_Community_Bank,12,3,pos,0.4166666666666667
Glacier_Family_of_Banks,24,7,ccd,0.4166666666666667
Bank_of_Hope,17,6,check,0.4117647058823529
Grow_Financial,78,7,debit,0.41025641025641024
Citizens_Business_Bank,32,6,check,0.40625
STAR_Financial_Bank,42,5,debit,0.40476190476190477
Stellar_Bank,47,9,dbt,0.40425531914893614
Alpine_Bank,99,14,ccd,0.40404040404040403
Integrity_Bank_&_Trust,15,6,pur,0.4
Riverland_Bank,10,5,edi,0.4
Citadel_Credit_Union,20,7,ach,0.4
DARTBANK,15,4,ccd,0.4
Seasons_Federal_Credit_Union,35,7,card,0.4
CU_HAWAII_Federal_Credit_Union,10,4,debit,0.4
Atlantic_Union_Bank,10,3,pos,0.4
Dundee_Bank,55,5,ach,0.4
Navigant_Credit_Union,63,4,ach,0.3968253968253968
OceanFirst_Bank,58,8,purchase-sig,0.39655172413793105
Coastal_Carolina_National_Bank,48,7,debit,0.3958333333333333
WSFS_Bank,38,4,debit,0.39473684210526316
Barksdale_Federal_Credit_Union,38,5,pos,0.39473684210526316
Royal_Credit_Union,33,8,check,0.3939393939393939
United_Bank,28,7,pos,0.39285714285714285
CCFBANK,28,6,chk,0.39285714285714285
Byline_Bank,64,5,check,0.390625
Morton_Community_Bank,18,4,check,0.3888888888888889
Everwise_Credit_Union,90,7,eft,0.3888888888888889
Simmons_Bank,18,7,check,0.3888888888888889
TruMark_Financial_Credit_Union,80,6,card,0.3875
IBC_Bank,57,7,ach,0.38596491228070173
Zions_Bank,39,13,bankcard,0.38461538461538464
Webster_Bank,13,4,check,0.38461538461538464
Texas_Regional_Bank,13,5,check,0.38461538461538464
Banner_Bank,34,7,ccd,0.38235294117647056
Five_Points_Bank,21,6,check,0.38095238095238093
Farmers_Bank_of_Willards,21,6,debit,0.38095238095238093
CoVantage_Credit_Union,29,4,debit,0.3793103448275862
TowneBank,53,3,pos,0.37735849056603776
F&M_Bank,48,12,check,0.375
Mountain_America_Credit_Union,48,8,debit,0.375
National_Bank_of_Arizona,43,7,xfer,0.37209302325581395
MSU_Federal_Credit_Union,84,6,debit,0.36904761904761907
State_Bank,19,6,check,0.3684210526315789
Park_National_Bank,38,8,purchase,0.3684210526315789
Central_State_Bank,120,10,debit,0.36666666666666664
Consumers_Credit_Union,82,5,debit,0.36585365853658536
RCB_Bank,96,9,ccd,0.3645833333333333
First_American_Bank,22,4,ccd,0.36363636363636365
Heartland_Bank_and_Trust_Company,11,5,dbt,0.36363636363636365
Bankwell,11,3,outgoing,0.36363636363636365
Watertown_Savings_Bank,11,3,pos,0.36363636363636365
Peoples_National_Bank,11,3,pos,0.36363636363636365
Cathay_Bank,33,10,check,0.36363636363636365
Burke_&_Herbert_Bank,58,10,dbt,0.3620689655172414
Members_1st_Federal_Credit_Union,36,5,ach,0.3611111111111111
"Wells_Fargo_Bank,_N.A",25,6,ach,0.36
Lake_Ridge_Bank,14,6,ach,0.35714285714285715
Equity_Bank,28,6,ach,0.35714285714285715
Citizens_Bank_&_Trust_Company,14,5,check,0.35714285714285715
Ent_Credit_Union,73,6,ach,0.3561643835616438
San_Diego_County_Credit_Union,45,7,debit,0.35555555555555557
RBFCU,45,9,pos,0.35555555555555557
ORNL_Federal_Credit_Union,96,7,debit,0.3541666666666667
Manasquan_Bank,51,9,ccd,0.35294117647058826
Digital_Federal_Credit_Union,102,8,debit,0.35294117647058826
Citywide_Banks,17,7,pur,0.35294117647058826
Huntington,17,5,purchase,0.35294117647058826
Kitsap_Credit_Union,34,7,ach,0.35294117647058826
First_International_Bank_&_Trust,34,8,pos,0.35294117647058826
Old_National_Bank,17,7,crd,0.35294117647058826
Banc_of_California,17,4,ach,0.35294117647058826
Bank_of_the_Sierra,34,7,ccd,0.35294117647058826
Farmers_State_Bank,17,6,chk,0.35294117647058826
Langley,77,8,debit,0.35064935064935066
Michigan_Schools_&_Government_Credit_Union,80,6,card,0.35
Frost_Bank,20,6,ach,0.35
Logix,20,5,ach,0.35
TwinStar_Credit_Union,46,6,card,0.34782608695652173
Lindell_Bank,46,9,ccd,0.34782608695652173
Rave_Financial,29,4,debit,0.3448275862068966
Academy_Bank,32,5,pos,0.34375
Southern_Bank,32,4,ach,0.34375
Broadway_Bank,41,9,instxfer,0.34146341463414637
UFCU,188,7,ach,0.3404255319148936
Hudson_Valley_Credit_Union,103,9,debit,0.33980582524271846
Wright-Patt_Credit_Union,71,7,debit,0.3380281690140845
CommunityAmerica_Credit_Union,113,11,ach,0.336283185840708
Timberland_Bank,21,4,bankcard,0.3333333333333333
Service_Credit_Union,21,8,pos,0.3333333333333333
Cogent_Bank,12,5,ach,0.3333333333333333
Wilson_Bank_&_Trust,12,5,web,0.3333333333333333
People's_Bank,18,7,vsa,0.3333333333333333
Dime,12,5,check,0.3333333333333333
Desert_Financial_Credit_Union,15,5,card,0.3333333333333333
Eastern_Bank,27,5,electronic,0.3333333333333333
First_Fidelity_Bank,72,8,ccd,0.3333333333333333
Merrimack_County_Savings_Bank,78,6,dbt,0.3333333333333333
OUR_Credit_Union,63,9,ach,0.3333333333333333
First_Foundation_Bank,18,7,ach,0.3333333333333333
Global_Federal_Credit_Union,75,6,debit,0.3333333333333333
Utah_Community_Credit_Union,21,9,pos,0.3333333333333333
Hanmi_Bank,15,7,check,0.3333333333333333
Alliance_Bank,12,4,dbt,0.3333333333333333
Farmers,61,10,dbt,0.32786885245901637
SouthState_Bank,55,8,purch,0.32727272727272727
Citizens_National_Bank,52,10,purchase,0.3269230769230769
Bank_of_the_West,37,9,purchase,0.32432432432432434
Bank_of_Clarke,37,9,ach,0.32432432432432434
Lake_Michigan_Credit_Union,68,10,ach,0.3235294117647059
Bank_of_Texas,25,6,check,0.32
Mechanics_Bank,25,7,check,0.32
Educators_Credit_Union,69,8,ach,0.3188405797101449
Southwest_Bank,22,5,dbt,0.3181818181818182
PeoplesSouth_Bank,22,6,debit,0.3181818181818182
Delta_Community_Credit_Union,101,9,check,0.31683168316831684
Union_Bank_&_Trust,57,10,check,0.3157894736842105
River_Bank_&_Trust,19,9,check,0.3157894736842105
Texas_Bank_and_Trust,57,6,dbt,0.3157894736842105
Capital_City_Bank,70,9,trsf,0.3142857142857143
First_State_Community_Bank,16,4,dbt,0.3125
Benchmark_Community_Bank,29,7,pmts,0.3103448275862069
Chesapeake_Bank,42,10,ppd,0.30952380952380953
Southside_Bank,39,8,pos,0.3076923076923077
Santander,13,7,card,0.3076923076923077
Civista_Bank,13,6,dbt,0.3076923076923077
"JPMorgan_Chase_Bank,_N.A",39,11,ccd,0.3076923076923077
Navy_Federal_Credit_Union,36,7,pos,0.3055555555555556
ConnectOne_Bank,23,6,wd,0.30434782608695654
Shore_United_Bank,23,7,ccd,0.30434782608695654
Prosperity_Bank,23,5,ach,0.30434782608695654
Community_Choice_Credit_Union,79,7,debit,0.3037974683544304
VyStar_Credit_Union,33,9,dbt,0.30303030303030304
Suncoast_Credit_Union,86,9,debit,0.3023255813953488
Great_Plains_Bank,40,6,pos,0.3
Fulton_Bank,20,4,visa,0.3
Numerica_Credit_Union,137,12,ach,0.29927007299270075
Valley,57,8,check,0.2982456140350877
Fidelity_Bank,104,12,ach,0.2980769230769231
U.S._Bank,64,9,withdrawal,0.296875
First_Metro_Bank,27,5,pos,0.2962962962962963
SELCO_Community_Credit_Union,44,10,debit,0.29545454545454547
sfcu,17,6,card,0.29411764705882354
Morris_Bank,17,6,check,0.29411764705882354
Frost,68,8,electronic,0.29411764705882354
"PNC_Bank,_N.A",17,6,ach,0.29411764705882354
Guaranty_Bank_&_Trust,92,10,check,0.29347826086956524
Four_Leaf,58,13,check,0.29310344827586204
Orrstown_Bank,48,8,check,0.2916666666666667
BankPlus,31,9,ac-,0.2903225806451613
Liberty_Bank,38,8,check,0.2894736842105263
Columbia_Bank,111,11,ach,0.2882882882882883
GuarantyBank,28,7,check,0.2857142857142857
Bank_of_Brookhaven,28,7,check,0.2857142857142857
Pacific_Premier_Bank,28,9,pos,0.2857142857142857
My_Community_Credit_Union,14,6,debit,0.2857142857142857
S&T_Bank,42,9,debit,0.2857142857142857
Wallkill_Valley_Federal_Savings_and_Loan,28,5,internet,0.2857142857142857
Platte_Valley_Bank,39,10,dbt,0.28205128205128205
Umpqua_Bank,78,8,pos,0.28205128205128205
SouthState,32,7,check,0.28125
b1BANK,64,9,ach,0.28125
Community_First_Credit_Union,32,6,ach,0.28125
Goldenwest_Credit_Union,216,13,card,0.2777777777777778
STCU,18,7,check,0.2777777777777778
Rivermark_Community_Credit_Union,29,7,debit,0.27586206896551724
American_National_Bank_of_Texas,29,11,check,0.27586206896551724
Canvas_Credit_Union,69,9,card,0.2753623188405797
PenAir_Credit_Union,51,8,ach,0.27450980392156865
Bangor_Savings_Bank,55,9,ccd,0.2727272727272727
Farmers_National_Bank,11,6,ach,0.2727272727272727
Texas_First_Bank,11,5,mobile,0.2727272727272727
Palo_Savings_Bank,144,12,pos,0.2708333333333333
First_Commonwealth_Bank,26,7,check,0.2692307692307692
American_Express,26,4,debit,0.2692307692307692
First_Tech_Federal_Credit_Union,56,9,ach,0.26785714285714285
American_Savings_Bank,15,8,pospur,0.26666666666666666
First,15,5,pos,0.26666666666666666
Lighthouse_Credit_Union,15,7,ach,0.26666666666666666
Del-One_Federal_Credit_Union,15,4,point,0.26666666666666666
The_First_Bank,64,13,ccd,0.265625
Valley_Strong_Credit_Union,49,12,debit,0.2653061224489796
Synovus,34,8,purchase,0.2647058823529412
Huntington_National_Bank,23,8,check,0.2608695652173913
First_Bank,27,11,check,0.25925925925925924
Teachers_Federal_Credit_Union,54,10,electronic,0.25925925925925924
First_Bank_&_Trust_Company,31,7,check,0.25806451612903225
Travis_Credit_Union,35,4,of,0.2571428571428571
Old_Plank_Trail_Community_Bank,35,8,debit,0.2571428571428571
America_First_Federal_Credit_Union,39,8,check,0.2564102564102564
Telhio_Credit_Union,59,4,point,0.2542372881355932
IU_Credit_Union,63,12,debit,0.25396825396825395
North_Shore_Bank,24,7,ck,0.25
Fifth_Third_Bank,28,8,check,0.25
LINKBANK,12,7,ccd,0.25
First_Citizens_Bank,20,7,visa,0.25
Centier_Bank,60,11,vsa,0.25
Armstrong_Bank,20,7,dbt,0.25
Customers_Bank,20,7,ach,0.25
SAG-AFTRA_Federal_Credit_Union,16,5,home,0.25
NewtekBank,16,7,bankcard,0.25
PB&T_Bank,20,7,p2p,0.25
